Date,Open,High,Low,Close
7/5/2023,"30,707","30,872","30,200","30,437"
7/6/2023,"30,441","31,505","29,897","30,312"
7/7/2023,"30,312","30,441","29,737","30,236"
7/8/2023,"30,236","30,378","30,062","30,118"
7/9/2023,"30,118","30,431","30,075","30,249"
7/10/2023,"30,249","30,841","29,966","30,837"
7/11/2023,"30,838","31,033","30,221","30,587"
7/12/2023,"30,587","30,968","30,223","30,280"
7/13/2023,"30,280","31,809","30,242","31,664"
7/14/2023,"31,665","31,718","29,947","30,119"
7/15/2023,"30,119","30,392","30,000","30,341"
7/16/2023,"30,341","30,444","30,083","30,272"
7/17/2023,"30,272","30,368","29,679","29,903"
7/18/2023,"29,903","30,272","29,551","29,717"
7/19/2023,"29,719","30,186","29,707","30,046"
7/20/2023,"30,046","30,411","29,593","29,745"
7/21/2023,"29,745","30,055","29,674","29,879"
7/22/2023,"29,879","29,988","29,811","29,839"
7/23/2023,"29,839","30,332","29,650","30,086"
7/24/2023,"30,086","30,143","28,872","29,104"
7/25/2023,"29,104","29,365","29,057","29,202"
7/26/2023,"29,202","29,470","29,109","29,401"
7/27/2023,"29,401","29,674","29,086","29,156"
7/28/2023,"29,156","29,526","29,123","29,317"
7/29/2023,"29,315","29,399","29,262","29,342"
7/30/2023,"29,342","29,443","29,123","29,195"
7/31/2023,"29,195","29,508","29,055","29,140"
8/1/2023,"29,141","29,337","28,574","29,262"
8/2/2023,"29,262","30,012","28,934","29,134"
8/3/2023,"29,134","29,390","28,956","29,261"
8/4/2023,"29,261","29,329","28,940","28,992"
8/5/2023,"28,992","29,105","28,800","29,038"
8/6/2023,"29,038","29,096","28,962","29,048"
8/7/2023,"29,048","29,168","28,675","29,112"
8/8/2023,"29,113","29,960","29,091","29,883"
8/9/2023,"29,883","30,193","29,388","29,394"
8/10/2023,"29,394","29,696","29,333","29,395"
8/11/2023,"29,395","29,525","29,233","29,360"
8/12/2023,"29,360","29,471","29,354","29,403"
8/13/2023,"29,403","29,440","29,312","29,424"
8/14/2023,"29,424","29,662","29,100","29,324"
8/15/2023,"29,324","29,444","29,074","29,153"
8/16/2023,"29,153","29,221","28,928","29,089"
8/17/2023,"29,085","29,105","27,705","27,857"
8/18/2023,"27,857","27,878","25,392","26,028"
8/19/2023,"26,029","26,251","25,800","26,129"
8/20/2023,"26,129","26,206","25,997","26,135"
8/21/2023,"26,135","26,274","25,831","26,095"
8/22/2023,"26,094","26,222","25,729","25,768"
8/23/2023,"25,768","26,789","25,381","26,632"
8/24/2023,"26,632","26,708","25,878","26,006"
