Date,Open,High,Low,Close,Volume
12/1/2023,233.14,240.19,231.9,238.83,"121,331,695"
12/4/2023,235.75,239.37,233.29,235.58,"104,099,797"
12/5/2023,233.87,246.66,233.7,238.72,"137,971,109"
12/6/2023,242.92,246.57,239.17,239.37,"126,436,203"
12/7/2023,241.55,244.08,236.98,242.64,"107,142,305"
12/8/2023,240.27,245.27,239.27,243.84,"103,126,797"
12/11/2023,242.74,243.44,237.45,239.74,"97,913,891"
12/12/2023,238.55,238.99,233.87,237.01,"95,328,312"
12/13/2023,234.19,240.3,228.2,239.29,"146,286,297"
12/14/2023,241.22,253.88,240.79,251.05,"160,829,203"
12/15/2023,251.21,254.13,248.3,253.5,"135,932,797"
12/18/2023,253.78,258.74,251.36,252.08,"116,416,492"
12/19/2023,253.48,258.34,253.01,257.22,"106,737,398"
12/20/2023,256.41,259.84,247,247.14,"125,097,000"
